ID,SchoolID,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q1_16,Q1_17,Q1_18,Q1_19,Q1_20,Q1_21,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q2_21,drink,smoke,school_M,age
388,21120188,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,3,4,13
391,21120188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,13
396,21120188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,13
400,21120188,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,1,2,2,3,3,13
402,21120188,0,0,1,0,0,0,0,1,1,0,2,1,2,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,1,0,2,1,1,1,0,2,0,0,0,0,1,0,4,3,2,13
423,11110239,1,0,0,1,0,1,0,0,1,2,1,0,0,0,1,2,1,1,0,1,0,0,1,1,0,2,2,1,1,2,0,1,1,0,1,0,2,2,1,1,1,2,1,1,3,10
424,11110239,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,10
461,21020627,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,4,15
476,11110507,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,4,11
522,11310801,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,12
528,40340248,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,18
536,40340248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,18
548,40340248,2,1,1,2,1,1,1,1,1,0,2,0,2,1,1,1,2,0,1,0,0,0,1,1,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2,2,1,18
549,40340248,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,3,4,4,3,18
556,40340248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,1,1,1,1,2,2,2,1,1,1,0,0,0,2,0,0,1,0,0,0,1,1,3,18
560,30330270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,17
568,30330270,1,1,1,2,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,1,2,2,3,1,0,2,2,0,0,0,1,1,0,2,1,0,2,2,1,1,2,17
575,30330270,1,0,2,2,0,0,2,0,2,1,2,1,0,3,1,0,1,0,0,0,0,2,0,0,0,2,0,0,1,2,1,0,3,1,0,2,0,1,0,0,0,0,1,1,3,17
578,30330270,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,17
587,30330270,0,0,0,1,0,1,0,0,1,0,2,1,1,0,0,0,1,1,0,1,0,1,0,0,2,1,2,0,0,2,2,2,1,0,1,1,0,0,2,1,1,0,2,1,2,17
601,11510538,3,3,3,3,3,3,2,2,1,3,3,3,2,2,3,1,1,0,0,0,0,1,1,1,0,0,0,1,1,2,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3,11
604,11510538,3,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,11
606,11510538,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,3,0,0,0,3,1,1,0,0,0,0,0,0,1,0,1,1,1,3,11
613,11510538,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,1,2,1,1,1,0,0,1,0,3,0,1,2,1,0,0,1,1,0,0,1,0,0,0,1,1,2,1,2,11
622,11510538,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,11
624,11510538,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,0,1,0,0,2,1,1,4,11
633,11510268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3,10
643,11510268,0,1,0,0,1,1,0,1,0,0,1,0,0,3,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,4,10
654,11510268,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,10
678,30230265,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,2,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,17
695,20220357,2,1,2,1,1,1,1,1,1,0,0,1,2,3,2,1,2,2,1,0,0,0,0,2,2,3,3,3,0,3,0,2,1,2,3,2,3,3,0,2,0,0,1,1,1,14
696,20220357,1,0,1,0,3,3,1,2,1,2,0,0,1,1,2,0,2,1,0,1,0,0,0,1,1,2,2,1,0,2,2,0,3,2,2,0,0,2,0,2,0,0,4,4,3,14
698,20220357,1,0,2,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,14
713,20220357,1,1,0,2,1,1,1,0,1,0,2,0,1,1,1,0,1,0,0,0,0,2,0,0,2,1,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1,1,1,3,14
714,20220357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,14
732,10410179,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,2,3,1,1,0,2,1,0,1,0,0,0,1,1,0,1,0,0,0,3,1,1,4,10
755,30130085,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,16
760,30130085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,16
799,10110421,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,11
805,10110421,0,2,1,0,1,2,0,0,2,0,1,1,0,0,1,1,1,1,1,0,3,2,2,3,1,2,2,3,1,1,1,2,2,1,1,1,2,1,0,2,1,2,2,1,4,11
808,11510537,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,11
